token	freq	lMI	rMI
so	0.0023144179667409564	0.0001193322203199417	0.00022882949423506179
my	0.0022458426195782616	0.0002990581377130021	0.0001657549705009167
now	0.0022286987827875877	9.915516690291706e-05	0.00011579553331097135
down	0.002211554945996914	0.0001585489865406561	0.0005590329439224776
if	0.0021944111092062402	0.0003835917542153507	0.0008437894521101325
which	0.0021258357620435454	0.0001252741012570515	0.0004430134294484496
did	0.0021086919252528715	0.0006667585680813805	0.003937503763263841
then	0.0020401165780901767	0.0007330798239562903	0.00016630275753091618
we	0.0020229727412995027	0.00014121536077596022	0.0002742672522562384
man	0.0019201097205554603	0.0006068226215007463	0.00011222981003327692
who	0.0019201097205554603	0.00018655389914277797	0.0004262819099389843
back	0.0017829590262300704	0.00015709801183315156	0.0003472484650667703
time	0.0017658151894393965	0.00034911025891715494	0.00022172871954822342
over	0.0017486713526487228	0.00015175496849871055	0.0006982053840175429
do	0.0016286644951140066	0.0006810250729161468	0.0005057698759575142
came	0.0015600891479513115	0.00014472010739863294	0.0002495612924853688
some	0.0015429453111606378	0.00011225185552633006	0.00014698338568278107
where	0.001525801474369964	0.00014154019144497451	0.00021829418107106302
how	0.001525801474369964	0.000156490445968684	0.00016716164892013674
before	0.001457226127207269	0.00014089389162815202	0.00026402894158426095
more	0.0014400822904165951	0.00018909075610364903	0.00018332045039923153
get	0.0014400822904165951	0.00104715216881386	0.0002233861365421803
old	0.0014057946168352477	0.0004981378974541616	0.00031390346798922163
little	0.0014057946168352477	0.00161049018896657	0.0001506159917272738
only	0.0013715069432539003	0.00016012815649458638	0.00011455241109174213
went	0.0013543631064632264	0.0004902689516068004	0.0004274980244906691
know	0.0013372192696725527	0.0007748706817445751	0.0003038722806758609
two	0.0013029315960912053	0.00019580813736155993	0.00018218294914520907
thought	0.0013029315960912053	0.0007910000431587083	0.0004076191083373982
go	0.0012686439225098576	0.001182733894799081	0.00019820338103510488
men	0.001251500085719184	0.00028565539299333064	0.00022272107384346124
looked	0.001251500085719184	0.0003237394092821022	0.000566414405928923
never	0.0012343562489285102	0.0003295865173109229	0.0001979356483242338
around	0.0012172124121378365	0.0001588595553550712	0.00022358328947107804
again	0.0012000685753471626	0.00012253737586684403	9.945987439372841e-05
here	0.0012000685753471626	0.00011870780375432879	0.00011694167846334127
himself	0.0011829247385564889	0.00011915830370740098	9.778665881385758e-05
house	0.0011829247385564889	0.0004346060891385399	0.00011773360406305133
after	0.0011314932281844678	0.00010473278893100993	0.00018743745451666396
don't	0.0011143493913937938	0.0014652532925597866	0.0005552332187759197
off	0.0010972055546031201	0.0001392384364182776	0.00012468184207671732
even	0.0010800617178124464	0.00013468110511111745	0.00013934723341691276
still	0.0010800617178124464	0.00027408726906713826	9.44554730494286e-05
through	0.0010800617178124464	0.0001137134358801728	0.0008169414116450808
room	0.0010800617178124464	0.0003974673592634063	0.00014803192848711943
way	0.0010800617178124464	0.00020023797625372104	0.000193610763664231
eyes	0.001045774044231099	0.0006601126261562911	0.0001062650597765427
too	0.001045774044231099	0.00011318457014728815	0.0002677149907921873
made	0.001028630207440425	0.00012498343880014556	0.000196451775536511
good	0.001028630207440425	0.00037301645481101675	0.00012492077129798882
just	0.0010114863706497514	0.00014245253508280266	0.00015066394403776624
see	0.0010114863706497514	0.0010867093935008516	0.0001812789879431558
knew	0.0010114863706497514	0.00091828424805171	0.00023312388556799877
face	0.0009943425338590777	0.0007982320739830244	9.576919430587983e-05
